dac	I(R7)
4.000000000000000e-001	1.330056e-007
4.100000000000000e-001	1.363327e-007
4.200000000000000e-001	1.396597e-007
4.300000000000001e-001	1.429867e-007
4.400000000000001e-001	1.463138e-007
4.500000000000001e-001	1.496408e-007
4.600000000000001e-001	1.529678e-007
4.700000000000001e-001	1.562948e-007
4.800000000000001e-001	1.596219e-007
4.900000000000001e-001	1.629489e-007
5.000000000000001e-001	1.662759e-007
5.100000000000001e-001	1.696030e-007
5.200000000000001e-001	1.729300e-007
5.300000000000001e-001	1.762570e-007
5.400000000000002e-001	1.795840e-007
5.500000000000002e-001	1.829111e-007
5.600000000000002e-001	1.862381e-007
5.700000000000002e-001	1.895651e-007
5.800000000000002e-001	1.928922e-007
5.900000000000002e-001	1.962192e-007
6.000000000000002e-001	1.995462e-007
6.100000000000002e-001	2.028733e-007
6.200000000000002e-001	2.062003e-007
6.300000000000002e-001	2.095273e-007
6.400000000000002e-001	2.128543e-007
6.500000000000002e-001	2.161814e-007
6.600000000000003e-001	2.195084e-007
6.700000000000003e-001	2.228354e-007
6.800000000000003e-001	2.261624e-007
6.900000000000003e-001	2.294895e-007
7.000000000000003e-001	2.328165e-007
7.100000000000003e-001	2.361435e-007
7.200000000000003e-001	2.394706e-007
7.300000000000003e-001	2.427976e-007
7.400000000000003e-001	2.461246e-007
7.500000000000003e-001	2.494517e-007
7.600000000000003e-001	2.527787e-007
7.700000000000004e-001	2.561057e-007
7.800000000000004e-001	2.594327e-007
7.900000000000004e-001	2.627598e-007
8.000000000000004e-001	2.660868e-007
8.100000000000004e-001	2.694138e-007
8.200000000000004e-001	2.727409e-007
8.300000000000004e-001	2.760679e-007
8.400000000000004e-001	2.793949e-007
8.500000000000004e-001	2.827219e-007
8.600000000000004e-001	2.860490e-007
8.700000000000004e-001	2.893760e-007
8.800000000000005e-001	2.927030e-007
8.900000000000005e-001	2.960300e-007
9.000000000000005e-001	2.993571e-007
9.100000000000005e-001	3.026841e-007
9.200000000000005e-001	3.060111e-007
9.300000000000005e-001	3.093382e-007
9.400000000000005e-001	3.126652e-007
9.500000000000005e-001	3.159922e-007
9.600000000000005e-001	3.193192e-007
9.700000000000005e-001	3.226463e-007
9.800000000000005e-001	3.259733e-007
9.900000000000006e-001	3.293003e-007
1.000000000000000e+000	3.326274e-007
1.010000000000001e+000	3.359544e-007
1.020000000000001e+000	3.392814e-007
1.030000000000001e+000	3.426084e-007
1.040000000000001e+000	3.459355e-007
1.050000000000001e+000	3.492625e-007
1.060000000000001e+000	3.525896e-007
1.070000000000001e+000	3.559166e-007
1.080000000000001e+000	3.592436e-007
1.090000000000001e+000	3.625706e-007
1.100000000000001e+000	3.658976e-007
1.110000000000001e+000	3.692247e-007
1.120000000000001e+000	3.725517e-007
1.130000000000001e+000	3.758788e-007
1.140000000000001e+000	3.792058e-007
1.150000000000001e+000	3.825328e-007
1.160000000000001e+000	3.858598e-007
1.170000000000001e+000	3.891869e-007
1.180000000000001e+000	3.925139e-007
1.190000000000001e+000	3.958409e-007
1.200000000000001e+000	3.991680e-007
1.210000000000001e+000	4.024950e-007
1.220000000000001e+000	4.058220e-007
1.230000000000001e+000	4.091490e-007
1.240000000000001e+000	4.124761e-007
1.250000000000001e+000	4.158031e-007
1.260000000000001e+000	4.191301e-007
1.270000000000001e+000	4.224572e-007
1.280000000000001e+000	4.257842e-007
1.290000000000001e+000	4.291112e-007
1.300000000000001e+000	4.324382e-007
1.310000000000001e+000	4.357653e-007
1.320000000000001e+000	4.390923e-007
1.330000000000001e+000	4.424193e-007
1.340000000000001e+000	4.457464e-007
1.350000000000001e+000	4.490734e-007
1.360000000000001e+000	4.524004e-007
1.370000000000001e+000	4.557274e-007
1.380000000000001e+000	4.590545e-007
1.390000000000001e+000	4.623815e-007
1.400000000000001e+000	4.657085e-007
1.410000000000001e+000	4.690356e-007
1.420000000000001e+000	4.723626e-007
1.430000000000001e+000	4.756896e-007
1.440000000000001e+000	4.790166e-007
1.450000000000001e+000	4.823437e-007
1.460000000000001e+000	4.856707e-007
1.470000000000001e+000	4.889977e-007
1.480000000000001e+000	4.923248e-007
1.490000000000001e+000	4.956518e-007
1.500000000000001e+000	4.989788e-007
1.510000000000001e+000	5.023059e-007
1.520000000000001e+000	5.056329e-007
1.530000000000001e+000	5.089599e-007
1.540000000000001e+000	5.122869e-007
1.550000000000001e+000	5.156140e-007
1.560000000000001e+000	5.189410e-007
1.570000000000001e+000	5.222680e-007
1.580000000000001e+000	5.255951e-007
1.590000000000001e+000	5.289221e-007
1.600000000000001e+000	5.322491e-007
1.610000000000001e+000	5.355761e-007
1.620000000000001e+000	5.389032e-007
1.630000000000001e+000	5.422302e-007
1.640000000000001e+000	5.455573e-007
1.650000000000001e+000	5.488843e-007
1.660000000000001e+000	5.522113e-007
1.670000000000001e+000	5.555383e-007
1.680000000000001e+000	5.588653e-007
1.690000000000001e+000	5.621924e-007
1.700000000000001e+000	5.655194e-007
1.710000000000001e+000	5.688465e-007
1.720000000000001e+000	5.721735e-007
1.730000000000001e+000	5.755005e-007
1.740000000000001e+000	5.788276e-007
1.750000000000001e+000	5.821546e-007
1.760000000000001e+000	5.854816e-007
1.770000000000001e+000	5.888086e-007
1.780000000000001e+000	5.921357e-007
1.790000000000001e+000	5.954627e-007
1.800000000000001e+000	5.987897e-007
1.810000000000001e+000	6.021168e-007
1.820000000000001e+000	6.054438e-007
1.830000000000001e+000	6.087708e-007
1.840000000000001e+000	6.120978e-007
1.850000000000001e+000	6.154249e-007
1.860000000000001e+000	6.187519e-007
1.870000000000001e+000	6.220790e-007
1.880000000000001e+000	6.254060e-007
1.890000000000001e+000	6.287330e-007
1.900000000000001e+000	6.320601e-007
1.910000000000001e+000	6.353871e-007
1.920000000000001e+000	6.387141e-007
1.930000000000001e+000	6.420411e-007
1.940000000000001e+000	6.453682e-007
1.950000000000001e+000	6.486952e-007
1.960000000000001e+000	6.520222e-007
1.970000000000001e+000	6.553493e-007
1.980000000000001e+000	6.586763e-007
1.990000000000001e+000	6.620033e-007
2.000000000000000e+000	6.653303e-007
